Year,Vehicle Type,Activity,Fuel Type,Full Unit,Value
2012,Vans,Class I (up to 1.305 tonnes),Diesel,kg CO2e/tonne.km,0.649284998
2012,Vans,Class II (1.305 to 1.74 tonnes),Diesel,kg CO2e/tonne.km,0.626994658
2012,Vans,Class III (1.74 to 3.5 tonnes),Diesel,kg CO2e/tonne.km,0.50024121
2012,Vans,Average (up to 3.5 tonnes),Diesel,kg CO2e/tonne.km,0.527943309
2012,Vans,Class I (up to 1.305 tonnes),Petrol,kg CO2e/tonne.km,0.847553817
2012,Vans,Class II (1.305 to 1.74 tonnes),Petrol,kg CO2e/tonne.km,0.806325674
2012,Vans,Class III (1.74 to 3.5 tonnes),Petrol,kg CO2e/tonne.km,0.48543101
2012,Vans,Average (up to 3.5 tonnes),Petrol,kg CO2e/tonne.km,0.695314598
2012,Vans,Average (up to 3.5 tonnes),CNG,kg CO2e/tonne.km,0.506484731
2012,Vans,Average (up to 3.5 tonnes),LPG,kg CO2e/tonne.km,0.557601988
2012,Vans,Average (up to 3.5 tonnes),Unknown,kg CO2e/tonne.km,0.5356078
2012,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,kg CO2e/tonne.km,0.58542
2012,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),Average laden,kg CO2e/tonne.km,0.3541
2012,HGV (all diesel),Rigid (>17 tonnes),Average laden,kg CO2e/tonne.km,0.19234
2012,HGV (all diesel),All rigids,Average laden,kg CO2e/tonne.km,0.24858
2012,HGV (all diesel),Articulated (>3.5 - 33t),Average laden,kg CO2e/tonne.km,0.16198
2012,HGV (all diesel),Articulated (>33t),Average laden,kg CO2e/tonne.km,0.08473
2012,HGV (all diesel),All artics,Average laden,kg CO2e/tonne.km,0.08825
2012,HGV (all diesel),All HGVs,Average laden,kg CO2e/tonne.km,0.12366
2012,Freight flights,"Domestic, to/from UK",With RF,kg CO2e/tonne.km,4.25539
2012,Freight flights,"Short-haul, to/from UK",With RF,kg CO2e/tonne.km,2.55902
2012,Freight flights,"Long-haul, to/from UK",With RF,kg CO2e/tonne.km,1.3213198
2012,Freight flights,"Domestic, to/from UK",Without RF,kg CO2e/tonne.km,2.25071
2012,Freight flights,"Short-haul, to/from UK",Without RF,kg CO2e/tonne.km,1.35314
