Year,Vehicle Type,Vehicle Sub Type,Fuel_Laden Type,Emission Factor (kgCO2e/tonne.km),Load_Ratio,Emissions (ktCO2e),Fuel Energy (MJ),Congestion_Index,Dynamic_EF,Estimated Activity (tonne.km),Energy Intensity (MJ/tonne.km)
2014,All HGVs,All HGVs,50% Laden,0.13651,0.5,18563,2.12E+11,1,0.13651,1.36E+11,1.56
2014,All HGVs,All HGVs,100% Laden,0.08114,1,11038,1.28E+11,1,0.08114,1.36E+11,0.94
2014,All HGVs,All HGVs,Average laden,0.1232,0.75,16755,1.82E+11,1,0.1232,1.36E+11,1.34
2015,All HGVs,All HGVs,50% Laden,0.14635,0.5,20487,2.17E+11,1,0.14635,1.40E+11,1.55
2015,All HGVs,All HGVs,100% Laden,0.08704,1,12177,1.32E+11,1,0.08704,1.40E+11,0.94
2015,All HGVs,All HGVs,Average laden,0.11364,0.75,15888,1.86E+11,1,0.11364,1.40E+11,1.33
2016,All HGVs,All HGVs,50% Laden,0.13572,0.5,20662,2.34E+11,1,0.13572,1.52E+11,1.54
2016,All HGVs,All HGVs,100% Laden,0.08069,1,12289,1.42E+11,1,0.08069,1.52E+11,0.93
2016,All HGVs,All HGVs,Average laden,0.1143,0.75,17380,2.01E+11,1,0.1143,1.52E+11,1.32
2017,All HGVs,All HGVs,50% Laden,0.12707,0.5,19745,2.38E+11,1,0.12707,1.55E+11,1.53
2017,All HGVs,All HGVs,100% Laden,0.07553,1,11742,1.45E+11,1,0.07553,1.55E+11,0.93
2017,All HGVs,All HGVs,Average laden,0.10559,0.75,16329,2.04E+11,1,0.10559,1.55E+11,1.31
2018,All HGVs,All HGVs,50% Laden,0.13136,0.5,20592,2.40E+11,1,0.13136,1.57E+11,1.53
2018,All HGVs,All HGVs,100% Laden,0.07807,1,12227,1.46E+11,1,0.07807,1.57E+11,0.93
2018,All HGVs,All HGVs,Average laden,0.1136,0.75,17772,2.05E+11,1,0.1136,1.57E+11,1.31
2019,All HGVs,All HGVs,50% Laden,0.12835,0.5,19902,2.36E+11,1,0.12835,1.55E+11,1.52
2019,All HGVs,All HGVs,100% Laden,0.0775,1,12042,1.44E+11,1,0.0775,1.55E+11,0.93
2019,All HGVs,All HGVs,Average laden,0.11133,0.75,17296,2.02E+11,1,0.11133,1.55E+11,1.3
2020,All HGVs,All HGVs,50% Laden,0.12464,0.5,18592,2.26E+11,1,0.12464,1.50E+11,1.51
2020,All HGVs,All HGVs,100% Laden,0.07524,1,11210,1.38E+11,1,0.07524,1.50E+11,0.92
2020,All HGVs,All HGVs,Average laden,0.1065,0.75,15920,1.93E+11,1,0.1065,1.50E+11,1.29
2021,All HGVs,All HGVs,50% Laden,0.12158,0.5,19557,2.42E+11,1,0.12158,1.61E+11,1.5
2021,All HGVs,All HGVs,100% Laden,0.07375,1,11864,1.47E+11,1,0.07375,1.61E+11,0.91
2021,All HGVs,All HGVs,Average laden,0.10749,0.75,17296,2.06E+11,1,0.10749,1.61E+11,1.28
2022,All HGVs,All HGVs,50% Laden,0.12145,0.5,19920,2.46E+11,1,0.12145,1.64E+11,1.5
2022,All HGVs,All HGVs,100% Laden,0.07384,1,12136,1.50E+11,1,0.07384,1.64E+11,0.91
2022,All HGVs,All HGVs,Average laden,0.10614,0.75,17437,2.10E+11,1,0.10614,1.64E+11,1.28
2023,All HGVs,All HGVs,50% Laden,0.118820923,0.5,19841,2.49E+11,1,0.118820923,1.67E+11,1.49
2023,All HGVs,All HGVs,100% Laden,0.072150462,1,12052,1.50E+11,1,0.072150462,1.67E+11,0.9
2023,All HGVs,All HGVs,Average laden,0.096957467,0.75,16180,2.12E+11,1,0.096957467,1.67E+11,1.27
2014,Vans,Class I (up to 1.305 tonnes),Diesel,0.650218,1,35312.8,1.30E+11,1,0.650218,54300000000,2.39
2014,Vans,Class II (1.305 to 1.74 tonnes),Diesel,0.629667,1,34178.7,1.30E+11,1,0.629667,54300000000,2.39
2014,Vans,Class III (1.74 to 3.5 tonnes),Diesel,0.504733,1,27404.8,1.30E+11,1,0.504733,54300000000,2.39
2014,Vans,Average (up to 3.5 tonnes),Diesel,0.531951,1,28868.7,1.30E+11,1,0.531951,54300000000,2.39
2014,Vans,Class I (up to 1.305 tonnes),Petrol,0.824213,1,44762.4,1.67E+11,1,0.824213,54300000000,3.08
2014,Vans,Class II (1.305 to 1.74 tonnes),Petrol,0.805459,1,43782.3,1.67E+11,1,0.805459,54300000000,3.08
2014,Vans,Class III (1.74 to 3.5 tonnes),Petrol,0.483539,1,26257.2,1.67E+11,1,0.483539,54300000000,3.08
2014,Vans,Average (up to 3.5 tonnes),Petrol,0.687661,1,37331.2,1.67E+11,1,0.687661,54300000000,3.08
2014,Vans,Average (up to 3.5 tonnes),CNG,0.511869,1,27780.1,1.05E+11,1,0.511869,54300000000,1.93
2014,Vans,Average (up to 3.5 tonnes),LPG,0.559809,1,30392.8,1.15E+11,1,0.559809,54300000000,2.11
2014,Vans,Average (up to 3.5 tonnes),Battery Electric Vehicle,0,1,0,0,1,0,0,0
2015,Vans,Class I (up to 1.305 tonnes),Diesel,0.61214,1,34780.3,1.35E+11,1,0.61214,56800000000,2.38
2015,Vans,Class II (1.305 to 1.74 tonnes),Diesel,0.633423,1,36002.3,1.35E+11,1,0.633423,56800000000,2.38
2015,Vans,Class III (1.74 to 3.5 tonnes),Diesel,0.502728,1,28566,1.35E+11,1,0.502728,56800000000,2.38
2015,Vans,Average (up to 3.5 tonnes),Diesel,0.529972,1,30113.3,1.35E+11,1,0.529972,56800000000,2.38
2015,Vans,Class I (up to 1.305 tonnes),Petrol,0.810251,1,45973.3,1.74E+11,1,0.810251,56800000000,3.06
2015,Vans,Class II (1.305 to 1.74 tonnes),Petrol,0.806109,1,45731.3,1.74E+11,1,0.806109,56800000000,3.06
2015,Vans,Class III (1.74 to 3.5 tonnes),Petrol,0.483084,1,27439.5,1.74E+11,1,0.483084,56800000000,3.06
2015,Vans,Average (up to 3.5 tonnes),Petrol,0.683723,1,38833.7,1.74E+11,1,0.683723,56800000000,3.06
2015,Vans,Average (up to 3.5 tonnes),CNG,0.506375,1,28766.1,1.09E+11,1,0.506375,56800000000,1.92
2015,Vans,Average (up to 3.5 tonnes),LPG,0.557671,1,31705.4,1.19E+11,1,0.557671,56800000000,2.1
2015,Vans,Average (up to 3.5 tonnes),Battery Electric Vehicle,0,1,0,0,1,0,0,0
2016,Vans,Class I (up to 1.305 tonnes),Diesel,0.654077,1,38665.5,1.39E+11,1,0.654077,59100000000,2.37
2016,Vans,Class II (1.305 to 1.74 tonnes),Diesel,0.673875,1,39833.1,1.39E+11,1,0.673875,59100000000,2.37
2016,Vans,Class III (1.74 to 3.5 tonnes),Diesel,0.534242,1,31565.4,1.39E+11,1,0.534242,59100000000,2.37
2016,Vans,Average (up to 3.5 tonnes),Diesel,0.56345,1,33300.2,1.39E+11,1,0.56345,59100000000,2.37
2016,Vans,Class I (up to 1.305 tonnes),Petrol,1.093282,1,64646.6,1.80E+11,1,1.093282,59100000000,3.05
2016,Vans,Class II (1.305 to 1.74 tonnes),Petrol,1.08733,1,64306.6,1.80E+11,1,1.08733,59100000000,3.05
2016,Vans,Class III (1.74 to 3.5 tonnes),Petrol,0.648789,1,38404.1,1.80E+11,1,0.648789,59100000000,3.05
2016,Vans,Average (up to 3.5 tonnes),Petrol,0.921719,1,54504.5,1.80E+11,1,0.921719,59100000000,3.05
2016,Vans,Average (up to 3.5 tonnes),CNG,0.54159,1,31997.4,1.13E+11,1,0.54159,59100000000,1.91
2016,Vans,Average (up to 3.5 tonnes),LPG,0.591709,1,34960.6,1.23E+11,1,0.591709,59100000000,2.08
2016,Vans,Average (up to 3.5 tonnes),Battery Electric Vehicle,0,1,0,0,1,0,0,0
2017,Vans,Class I (up to 1.305 tonnes),Diesel,0.633778,1,38572.6,1.44E+11,1,0.633778,60900000000,2.36
2017,Vans,Class II (1.305 to 1.74 tonnes),Diesel,0.652869,1,39797.7,1.44E+11,1,0.652869,60900000000,2.36
2017,Vans,Class III (1.74 to 3.5 tonnes),Diesel,0.51757,1,31542.4,1.44E+11,1,0.51757,60900000000,2.36
