Year,Scenario,Group,Metric,Value,% Reduction vs S0 (group)
2002,S0 (baseline),HGV,Emissions (ktCO2e),18268.0,0.0
2003,S0 (baseline),HGV,Emissions (ktCO2e),18400.0,0.0
2004,S0 (baseline),HGV,Emissions (ktCO2e),18528.0,0.0
2005,S0 (baseline),HGV,Emissions (ktCO2e),18420.0,0.0
2006,S0 (baseline),HGV,Emissions (ktCO2e),18369.0,0.0
2007,S0 (baseline),HGV,Emissions (ktCO2e),18230.0,0.0
2008,S0 (baseline),HGV,Emissions (ktCO2e),17850.0,0.0
2009,S0 (baseline),HGV,Emissions (ktCO2e),15875.0,0.0
2010,S0 (baseline),HGV,Emissions (ktCO2e),16530.0,0.0
2011,S0 (baseline),HGV,Emissions (ktCO2e),16070.0,0.0
2012,S0 (baseline),HGV,Emissions (ktCO2e),15574.0,0.0
2013,S0 (baseline),HGV,Emissions (ktCO2e),15687.3,0.0
2014,S0 (baseline),HGV,Emissions (ktCO2e),16755.0,0.0
2015,S0 (baseline),HGV,Emissions (ktCO2e),15888.0,0.0
2016,S0 (baseline),HGV,Emissions (ktCO2e),17380.0,0.0
2017,S0 (baseline),HGV,Emissions (ktCO2e),16329.0,0.0
2018,S0 (baseline),HGV,Emissions (ktCO2e),17772.0,0.0
2019,S0 (baseline),HGV,Emissions (ktCO2e),17296.0,0.0
2020,S0 (baseline),HGV,Emissions (ktCO2e),15920.0,0.0
2021,S0 (baseline),HGV,Emissions (ktCO2e),17296.0,0.0
2022,S0 (baseline),HGV,Emissions (ktCO2e),17437.0,0.0
2023,S0 (baseline),HGV,Emissions (ktCO2e),16180.0,0.0
2024,S0 (baseline),HGV,Emissions (ktCO2e),17005.197346443827,0.0
2025,S0 (baseline),HGV,Emissions (ktCO2e),17707.806163622015,0.0
2026,S0 (baseline),HGV,Emissions (ktCO2e),18497.59560688482,0.0
2027,S0 (baseline),HGV,Emissions (ktCO2e),19380.515073182334,0.0
2028,S0 (baseline),HGV,Emissions (ktCO2e),20362.513959464653,0.0
2029,S0 (baseline),HGV,Emissions (ktCO2e),21449.54166268187,0.0
2030,S0 (baseline),HGV,Emissions (ktCO2e),22647.547579784074,0.0
2031,S0 (baseline),HGV,Emissions (ktCO2e),23962.48110772136,0.0
2032,S0 (baseline),HGV,Emissions (ktCO2e),25400.291643443827,0.0
2033,S0 (baseline),HGV,Emissions (ktCO2e),26966.92858390157,0.0
2034,S0 (baseline),HGV,Emissions (ktCO2e),28668.341326044672,0.0
2035,S0 (baseline),HGV,Emissions (ktCO2e),30510.479266823233,0.0
2036,S0 (baseline),HGV,Emissions (ktCO2e),32499.29180318734,0.0
2037,S0 (baseline),HGV,Emissions (ktCO2e),34640.728332087114,0.0
2038,S0 (baseline),HGV,Emissions (ktCO2e),36940.7382504726,0.0
2039,S0 (baseline),HGV,Emissions (ktCO2e),39405.270955293934,0.0
2040,S0 (baseline),HGV,Emissions (ktCO2e),42040.2758435012,0.0
2041,S0 (baseline),HGV,Emissions (ktCO2e),44851.70231204447,0.0
2042,S0 (baseline),HGV,Emissions (ktCO2e),47845.49975787387,0.0
2043,S0 (baseline),HGV,Emissions (ktCO2e),51027.61757793946,0.0
2044,S0 (baseline),HGV,Emissions (ktCO2e),54404.005169191376,0.0
2045,S0 (baseline),HGV,Emissions (ktCO2e),57980.611928579674,0.0
2046,S0 (baseline),HGV,Emissions (ktCO2e),61763.38725305445,0.0
2047,S0 (baseline),HGV,Emissions (ktCO2e),65758.28053956582,0.0
2048,S0 (baseline),HGV,Emissions (ktCO2e),69971.24118506386,0.0
2049,S0 (baseline),HGV,Emissions (ktCO2e),74408.21858649867,0.0
2050,S0 (baseline),HGV,Emissions (ktCO2e),79075.16214082034,0.0
2002,S1 (Net-zero policy),HGV,Emissions (ktCO2e),18268.0,0.0
2003,S1 (Net-zero policy),HGV,Emissions (ktCO2e),18400.0,0.0
2004,S1 (Net-zero policy),HGV,Emissions (ktCO2e),18528.0,0.0
2005,S1 (Net-zero policy),HGV,Emissions (ktCO2e),18420.0,0.0
2006,S1 (Net-zero policy),HGV,Emissions (ktCO2e),18369.0,0.0
2007,S1 (Net-zero policy),HGV,Emissions (ktCO2e),18230.0,0.0
2008,S1 (Net-zero policy),HGV,Emissions (ktCO2e),17850.0,0.0
2009,S1 (Net-zero policy),HGV,Emissions (ktCO2e),15875.0,0.0
2010,S1 (Net-zero policy),HGV,Emissions (ktCO2e),16530.0,0.0
2011,S1 (Net-zero policy),HGV,Emissions (ktCO2e),16070.0,0.0
2012,S1 (Net-zero policy),HGV,Emissions (ktCO2e),15574.0,0.0
2013,S1 (Net-zero policy),HGV,Emissions (ktCO2e),15687.3,0.0
2014,S1 (Net-zero policy),HGV,Emissions (ktCO2e),16755.0,0.0
2015,S1 (Net-zero policy),HGV,Emissions (ktCO2e),15888.0,0.0
2016,S1 (Net-zero policy),HGV,Emissions (ktCO2e),17380.0,0.0
2017,S1 (Net-zero policy),HGV,Emissions (ktCO2e),16329.0,0.0
2018,S1 (Net-zero policy),HGV,Emissions (ktCO2e),17772.0,0.0
2019,S1 (Net-zero policy),HGV,Emissions (ktCO2e),17296.0,0.0
2020,S1 (Net-zero policy),HGV,Emissions (ktCO2e),15920.0,0.0
2021,S1 (Net-zero policy),HGV,Emissions (ktCO2e),17296.0,0.0
2022,S1 (Net-zero policy),HGV,Emissions (ktCO2e),17437.0,0.0
2023,S1 (Net-zero policy),HGV,Emissions (ktCO2e),16180.0,0.0
2024,S1 (Net-zero policy),HGV,Emissions (ktCO2e),17005.197346443827,0.0
2025,S1 (Net-zero policy),HGV,Emissions (ktCO2e),16416.555899836156,7.291983274803037
2026,S1 (Net-zero policy),HGV,Emissions (ktCO2e),15827.914453228483,14.432584701239115
2027,S1 (Net-zero policy),HGV,Emissions (ktCO2e),15239.273006620815,21.368070203107948
2028,S1 (Net-zero policy),HGV,Emissions (ktCO2e),14650.631560013146,28.050968612333747
2029,S1 (Net-zero policy),HGV,Emissions (ktCO2e),14061.990113405474,34.441535700174576
2030,S1 (Net-zero policy),HGV,Emissions (ktCO2e),13473.348666797803,40.508575512058776
2031,S1 (Net-zero policy),HGV,Emissions (ktCO2e),12884.70722019013,46.22966143502424
2032,S1 (Net-zero policy),HGV,Emissions (ktCO2e),12296.065773582459,51.590848065099884
2033,S1 (Net-zero policy),HGV,Emissions (ktCO2e),11707.42432697479,56.58599276313668
2034,S1 (Net-zero policy),HGV,Emissions (ktCO2e),11118.782880367118,61.21581379992185
2035,S1 (Net-zero policy),HGV,Emissions (ktCO2e),10530.141433759449,65.48680424954907
2036,S1 (Net-zero policy),HGV,Emissions (ktCO2e),9941.499987151776,69.4101026959093
2037,S1 (Net-zero policy),HGV,Emissions (ktCO2e),9352.858540544104,73.00039868999892
2038,S1 (Net-zero policy),HGV,Emissions (ktCO2e),8764.217093936433,76.27492706152317
2039,S1 (Net-zero policy),HGV,Emissions (ktCO2e),8175.575647328764,79.25258360333541
2040,S1 (Net-zero policy),HGV,Emissions (ktCO2e),7586.934200721093,81.95317692737281
