Year,Scenario,Metric,Value,% Reduction vs S0
2002,S0 (baseline),Emissions (ktCO2e),168936.36786561302,0.0
2003,S0 (baseline),Emissions (ktCO2e),173170.8722247322,0.0
2004,S0 (baseline),Emissions (ktCO2e),176766.82252964465,0.0
2005,S0 (baseline),Emissions (ktCO2e),179811.1405361233,0.0
2006,S0 (baseline),Emissions (ktCO2e),182390.74799994094,0.0
2007,S0 (baseline),Emissions (ktCO2e),184592.56667687042,0.0
2008,S0 (baseline),Emissions (ktCO2e),186503.51832268457,0.0
2009,S0 (baseline),Emissions (ktCO2e),188210.52469315619,0.0
2010,S0 (baseline),Emissions (ktCO2e),189800.5075440581,0.0
2011,S0 (baseline),Emissions (ktCO2e),191360.3886311632,0.0
2012,S0 (baseline),Emissions (ktCO2e),192977.08971024424,0.0
2013,S0 (baseline),Emissions (ktCO2e),194737.53253707412,0.0
2014,S0 (baseline),Emissions (ktCO2e),196728.63886742562,0.0
2015,S0 (baseline),Emissions (ktCO2e),199037.3304570716,0.0
2016,S0 (baseline),Emissions (ktCO2e),201750.52906178485,0.0
2017,S0 (baseline),Emissions (ktCO2e),204955.15643733827,0.0
2018,S0 (baseline),Emissions (ktCO2e),208738.1343395046,0.0
2019,S0 (baseline),Emissions (ktCO2e),213186.38452405675,0.0
2020,S0 (baseline),Emissions (ktCO2e),218386.82874676754,0.0
2021,S0 (baseline),Emissions (ktCO2e),224426.38876340975,0.0
2022,S0 (baseline),Emissions (ktCO2e),231391.98632975624,0.0
2023,S0 (baseline),Emissions (ktCO2e),239370.5432015799,0.0
2024,S0 (baseline),Emissions (ktCO2e),248448.9811346534,0.0
2025,S0 (baseline),Emissions (ktCO2e),258714.2218847497,0.0
2026,S0 (baseline),Emissions (ktCO2e),270253.18720764166,0.0
2027,S0 (baseline),Emissions (ktCO2e),283152.79885910195,0.0
2028,S0 (baseline),Emissions (ktCO2e),297499.9785949036,0.0
2029,S0 (baseline),Emissions (ktCO2e),313381.64817081933,0.0
