Year,Scenario,Emissions_ktCO2e,Energy_Intensity_MJ_tkm,%Reduction_vs_Baseline
2014,S0 Baseline,412959.3386013983,30.573788946834835,0.0
2015,S0 Baseline,459289.0253146851,30.538963328017605,0.0
2016,S0 Baseline,492119.7457109555,30.504137709200375,0.0
2017,S0 Baseline,514003.76202797197,30.46931209038315,0.0
2018,S0 Baseline,527493.3365034965,30.43448647156592,0.0
2019,S0 Baseline,535140.7313752915,30.39966085274869,0.0
2020,S0 Baseline,539498.2088811191,30.36483523393146,0.0
2021,S0 Baseline,543118.0312587415,30.33000961511423,0.0
2022,S0 Baseline,548552.460745921,30.295183996297,0.0
2023,S0 Baseline,558353.7595804197,30.260358377479772,0.0
2024,S0 Baseline,575074.1900000001,30.225532758662542,0.0
2025,S0 Baseline,601266.014242424,30.190707139845312,0.0
2026,S0 Baseline,639481.4945454542,30.155881521028082,0.0
2027,S0 Baseline,692272.8931468521,30.121055902210852,0.0
2028,S0 Baseline,762192.4722843807,30.086230283393622,0.0
2029,S0 Baseline,851792.4941958019,30.051404664576395,0.0
2030,S0 Baseline,963625.2211188779,30.016579045759165,0.0
2031,S0 Baseline,1100242.9152913713,29.981753426941935,0.0
2032,S0 Baseline,1264197.8389510438,29.946927808124705,0.0
2033,S0 Baseline,1458042.2543356577,29.912102189307475,0.0
2034,S0 Baseline,1684328.4236829756,29.87727657049025,0.0
2035,S0 Baseline,1945608.6092307586,29.84245095167302,0.0
2036,S0 Baseline,2244435.0732167712,29.80762533285579,0.0
2037,S0 Baseline,2583360.0778787727,29.77279971403856,0.0
2038,S0 Baseline,2964935.885454529,29.73797409522133,0.0
2039,S0 Baseline,3391714.758181799,29.7031484764041,0.0
2040,S0 Baseline,3866248.9582983456,29.668322857586872,0.0
2041,S0 Baseline,4391090.748041932,29.633497238769642,0.0
2042,S0 Baseline,4968792.38965032,29.598671619952412,0.0
2043,S0 Baseline,5601906.145361272,29.563846001135182,0.0
2044,S0 Baseline,6292984.27741255,29.529020382317952,0.0
2045,S0 Baseline,7044579.048041916,29.494194763500722,0.0
2046,S0 Baseline,7859242.719487132,29.459369144683496,0.0
2047,S0 Baseline,8739527.553985963,29.424543525866266,0.0
2048,S0 Baseline,9687985.813776165,29.389717907049036,0.0
2049,S0 Baseline,10707169.761095505,29.354892288231806,0.0
2050,S0 Baseline,11799631.658181746,29.320066669414576,0.0
2014,S1 Net-Zero Trajectory,412959.3386013983,30.573788946834835,0.0
2015,S1 Net-Zero Trajectory,459289.0253146851,30.538963328017605,0.0
2016,S1 Net-Zero Trajectory,492119.7457109555,30.504137709200375,0.0
2017,S1 Net-Zero Trajectory,514003.76202797197,30.46931209038315,0.0
2018,S1 Net-Zero Trajectory,527493.3365034965,30.43448647156592,0.0
2019,S1 Net-Zero Trajectory,535140.7313752915,30.39966085274869,0.0
2020,S1 Net-Zero Trajectory,539498.2088811191,30.36483523393146,0.0
2021,S1 Net-Zero Trajectory,543118.0312587415,30.33000961511423,0.0
2022,S1 Net-Zero Trajectory,548552.460745921,30.295183996297,0.0
2023,S1 Net-Zero Trajectory,558353.7595804197,30.260358377479772,0.0
2024,S1 Net-Zero Trajectory,575074.1900000001,30.225532758662542,0.0
2025,S1 Net-Zero Trajectory,555167.7757307693,30.190707139845312,7.66686249009718
2026,S1 Net-Zero Trajectory,535261.3614615385,30.155881521028082,16.29759953538542
2027,S1 Net-Zero Trajectory,515354.94719230774,30.121055902210852,25.556099004589328
2028,S1 Net-Zero Trajectory,495448.532923077,30.086230283393622,34.99692650621971
2029,S1 Net-Zero Trajectory,475542.1186538462,30.051404664576395,44.17160025543344
2030,S1 Net-Zero Trajectory,455635.7043846154,30.016579045759165,52.716502806394914
2031,S1 Net-Zero Trajectory,435729.2901153846,29.981753426941935,60.39699196790621
2032,S1 Net-Zero Trajectory,415822.8758461539,29.946927808124705,67.1077688132121
2033,S1 Net-Zero Trajectory,395916.46157692315,29.912102189307475,72.84602278160185
2034,S1 Net-Zero Trajectory,376010.04730769235,29.87727657049025,77.6759661583396
2035,S1 Net-Zero Trajectory,356103.63303846156,29.84245095167302,81.69705708800007
2036,S1 Net-Zero Trajectory,336197.21876923076,29.80762533285579,85.02085345300785
2037,S1 Net-Zero Trajectory,316290.8045,29.77279971403856,87.75661173955626
2038,S1 Net-Zero Trajectory,296384.39023076923,29.73797409522133,90.0036829907594
2039,S1 Net-Zero Trajectory,276477.9759615385,29.7031484764041,91.84843078874503
2040,S1 Net-Zero Trajectory,256571.5616923077,29.668322857586872,93.36381168259706
2041,S1 Net-Zero Trajectory,236665.1474230769,29.633497238769642,94.61033349108965
2042,S1 Net-Zero Trajectory,216758.73315384617,29.598671619952412,95.63759730421941
2043,S1 Net-Zero Trajectory,196852.31888461538,29.563846001135182,96.48597613425527
2044,S1 Net-Zero Trajectory,176945.90461538464,29.529020382317952,97.18820361190957
2045,S1 Net-Zero Trajectory,157039.49034615385,29.494194763500722,97.77077538238706
2046,S1 Net-Zero Trajectory,137133.07607692305,29.459369144683496,98.2551362647587
2047,S1 Net-Zero Trajectory,117226.66180769232,29.424543525866266,98.65866133971709
2048,S1 Net-Zero Trajectory,97320.24753846152,29.389717907049036,98.99545427285747
2049,S1 Net-Zero Trajectory,77413.83326923073,29.354892288231806,99.27699069878845
2050,S1 Net-Zero Trajectory,57507.41900000001,29.320066669414576,99.51263377818981
2014,S2 Fuel Switch,412959.3386013983,30.573788946834835,0.0
2015,S2 Fuel Switch,459289.025314685,30.538963328017605,1.26734273420938e-14
2016,S2 Fuel Switch,492119.74571095547,30.50413770920037,1.1827946637129132e-14
2017,S2 Fuel Switch,514003.7620279719,30.46931209038315,1.132436476414345e-14
2018,S2 Fuel Switch,527493.3365034965,30.43448647156592,0.0
2019,S2 Fuel Switch,535140.7313752915,30.39966085274869,0.0
2020,S2 Fuel Switch,539498.2088811191,30.364835233931455,0.0
2021,S2 Fuel Switch,543118.0312587415,30.33000961511423,0.0
2022,S2 Fuel Switch,548552.460745921,30.295183996297,0.0
2023,S2 Fuel Switch,558353.7595804197,30.26035837747977,0.0
2024,S2 Fuel Switch,575074.1900000001,30.22553275866254,0.0
2025,S2 Fuel Switch,601266.014242424,30.190707139845312,0.0
2026,S2 Fuel Switch,634349.9733213673,30.155881521028082,0.8024503082351704
2027,S2 Fuel Switch,681162.6012170813,30.12105590221085,1.6049006164703334
2028,S2 Fuel Switch,743843.8247548069,30.08623028339362,2.4073509247055016
2029,S2 Fuel Switch,824451.6482150091,30.051404664576395,3.2098012329406513
2030,S2 Fuel Switch,924962.1533333767,30.016579045759165,4.012251541175825
2031,S2 Fuel Switch,1047269.4993008244,29.981753426941932,4.814701849410979
2032,S2 Fuel Switch,1193185.922763489,29.946927808124702,5.617152157646172
2033,S2 Fuel Switch,1364441.7378227343,29.912102189307475,6.419602465881316
