Scenario,Lever,Shift,Emissions_2050_ktCO2e,Δ_vs_Base_kt,%_Change_vs_Base
S0,—,Base,1155302.2918050867,0.0,0.0
S1,Target2050Fraction,+10% target,27329.38792481188,2484.489811346535,10.000000000000009
S1,Target2050Fraction,-10% target,22360.40830211881,-2484.489811346535,-9.999999999999998
S1,Target2050Fraction,Base,24844.898113465344,0.0,0.0
S2,HGV_Adoption,+10% adopt,1096154.070523753,-5377.111025575781,-0.48814878013827556
S2,HGV_Adoption,-10% adopt,1106908.2925749046,5377.111025575781,0.48814878013827556
S2,HGV_Reduction,+10% red,1096154.070523753,-5377.111025575781,-0.48814878013827556
S2,HGV_Reduction,-10% red,1106908.2925749046,5377.111025575781,0.48814878013827556
S2,—,Base,1101531.1815493288,0.0,0.0
S3,Vans_Adoption,+10% adopt,307653.85289142956,0.0,0.0
S3,Vans_Adoption,-10% adopt,392418.69678279525,84764.84389136569,27.552017663591233
S3,Vans_WTW_Reduction,+10% WTW,290354.9051584978,-17298.94773293176,-5.622860747671677
S3,Vans_WTW_Reduction,-10% WTW,392418.69678279525,84764.84389136569,27.552017663591233
S3,—,Base,307653.85289142956,0.0,0.0
S4,All_Levers,+10% all levers,225291.8617490308,-28590.880886640953,-11.261451089517182
S4,All_Levers,-10% all levers,425152.45697786054,171269.7143421888,67.46016391825624
S4,All_Levers,Base,253882.74263567175,0.0,0.0
